item_name,category,price,cost,date,units_sold,revenue,total_cost,profit,day_of_week,hour,table_number,customers_per_table,items_per_ticket
Rib Eye 350g,Cortes Premium,45000,22500,2024-10-25,8,360000,180000,180000,Friday,20,5,4,3
Margarita Clásica,Cocteles,18000,5400,2024-10-25,12,216000,64800,151200,Friday,21,5,4,3
Arrachera 300g,Cortes Premium,38000,19000,2024-10-25,6,228000,114000,114000,Friday,19,3,2,2
Corona Extra,Cervezas,8000,3200,2024-10-25,25,200000,80000,120000,Friday,20,8,6,4
Hamburguesa Angus,Comida Rápida,28000,11200,2024-10-25,10,280000,112000,168000,Friday,21,12,3,2
Mojito Cubano,Cocteles,20000,6000,2024-10-25,8,160000,48000,112000,Friday,22,7,4,3
T-Bone 400g,Cortes Premium,52000,26000,2024-10-26,12,624000,312000,312000,Saturday,20,2,4,4
Piña Colada,Cocteles,19000,5700,2024-10-26,15,285000,85500,199500,Saturday,21,2,4,4
Costillas BBQ,Platos Fuertes,35000,14000,2024-10-26,9,315000,126000,189000,Saturday,19,6,3,2
Michelada Especial,Cocteles,15000,4500,2024-10-26,20,300000,90000,210000,Saturday,18,10,5,3
Tacos de Arrachera,Comida Rápida,22000,8800,2024-10-26,14,308000,123200,184800,Saturday,20,4,2,2
Whisky JW Black,Licores,25000,12500,2024-10-26,8,200000,100000,100000,Saturday,23,1,2,3
New York Strip,Cortes Premium,48000,24000,2024-10-26,10,480000,240000,240000,Saturday,21,9,4,3
Caipirinha,Cocteles,18000,5400,2024-10-26,11,198000,59400,138600,Saturday,22,9,4,3
Alitas BBQ,Comida Rápida,18000,7200,2024-10-27,8,144000,57600,86400,Sunday,14,11,4,2
Bloody Mary,Cocteles,17000,5100,2024-10-27,6,102000,30600,71400,Sunday,13,11,4,2
Filete Mignon,Cortes Premium,55000,27500,2024-10-27,5,275000,137500,137500,Sunday,15,3,2,2
Modelo Especial,Cervezas,8000,3200,2024-10-27,18,144000,57600,86400,Sunday,16,7,3,3
Nachos Supreme,Comida Rápida,16000,6400,2024-10-28,4,64000,25600,38400,Monday,19,2,2,2
Cerveza Artesanal,Cervezas,12000,4800,2024-10-28,6,72000,28800,43200,Monday,20,2,2,2
Hamburguesa Angus,Comida Rápida,28000,11200,2024-10-28,5,140000,56000,84000,Monday,21,4,2,1
Tequila Don Julio,Licores,22000,11000,2024-10-28,3,66000,33000,33000,Monday,22,4,2,1
Arrachera 300g,Cortes Premium,38000,19000,2024-10-29,4,152000,76000,76000,Tuesday,20,1,2,2
Margarita Clásica,Cocteles,18000,5400,2024-10-29,5,90000,27000,63000,Tuesday,21,1,2,2
Corona Extra,Cervezas,8000,3200,2024-10-29,8,64000,25600,38400,Tuesday,19,3,2,2
Quesadillas Mixtas,Comida Rápida,15000,6000,2024-10-29,6,90000,36000,54000,Tuesday,20,5,3,2
Rib Eye 350g,Cortes Premium,45000,22500,2024-10-30,5,225000,112500,112500,Wednesday,20,2,2,2
Mojito Cubano,Cocteles,20000,6000,2024-10-30,6,120000,36000,84000,Wednesday,21,2,2,2
Tacos de Arrachera,Comida Rápida,22000,8800,2024-10-30,7,154000,61600,92400,Wednesday,19,6,3,2
Michelada Especial,Cocteles,15000,4500,2024-10-30,9,135000,40500,94500,Wednesday,20,8,4,3
Costillas BBQ,Platos Fuertes,35000,14000,2024-10-31,6,210000,84000,126000,Thursday,20,3,2,2
Piña Colada,Cocteles,19000,5700,2024-10-31,7,133000,39900,93100,Thursday,21,3,2,2
Alitas BBQ,Comida Rápida,18000,7200,2024-10-31,8,144000,57600,86400,Thursday,19,5,3,2
Corona Extra,Cervezas,8000,3200,2024-10-31,12,96000,38400,57600,Thursday,20,7,4,3
T-Bone 400g,Cortes Premium,52000,26000,2024-11-01,14,728000,364000,364000,Friday,20,1,4,4
Margarita Clásica,Cocteles,18000,5400,2024-11-01,18,324000,97200,226800,Friday,21,1,4,4
Hamburguesa Angus,Comida Rápida,28000,11200,2024-11-01,12,336000,134400,201600,Friday,19,4,3,2
Whisky JW Black,Licores,25000,12500,2024-11-01,10,250000,125000,125000,Friday,23,6,2,2
Arrachera 300g,Cortes Premium,38000,19000,2024-11-01,9,342000,171000,171000,Friday,20,8,3,3
Caipirinha,Cocteles,18000,5400,2024-11-01,11,198000,59400,138600,Friday,22,8,3,3
New York Strip,Cortes Premium,48000,24000,2024-11-02,15,720000,360000,360000,Saturday,20,2,4,4
Mojito Cubano,Cocteles,20000,6000,2024-11-02,20,400000,120000,280000,Saturday,21,2,4,4
Filete Mignon,Cortes Premium,55000,27500,2024-11-02,8,440000,220000,220000,Saturday,21,5,2,3
Michelada Especial,Cocteles,15000,4500,2024-11-02,25,375000,112500,262500,Saturday,18,10,6,4
Tacos de Arrachera,Comida Rápida,22000,8800,2024-11-02,16,352000,140800,211200,Saturday,20,7,3,2
Tequila Don Julio,Licores,22000,11000,2024-11-02,12,264000,132000,132000,Saturday,23,1,2,3
Rib Eye 350g,Cortes Premium,45000,22500,2024-11-02,11,495000,247500,247500,Saturday,19,9,4,3
Piña Colada,Cocteles,19000,5700,2024-11-02,14,266000,79800,186200,Saturday,22,9,4,3
Costillas BBQ,Platos Fuertes,35000,14000,2024-11-03,7,245000,98000,147000,Sunday,14,3,3,2
Bloody Mary,Cocteles,17000,5100,2024-11-03,8,136000,40800,95200,Sunday,13,3,3,2
